686,318,318
685,38,356
684,41,397
683,48,445
682,49,494
681,51,545
680,62,607
679,62,669
678,68,737
677,84,821
676,65,886
675,83,969
674,82,1051
673,87,1138
672,96,1234
671,72,1306
670,88,1394
669,104,1498
668,124,1622
667,123,1745
666,142,1887
665,104,1991
664,124,2115
663,131,2246
662,151,2397
661,169,2566
660,154,2720
659,153,2873
658,190,3063
657,198,3261
656,195,3456
655,215,3671
654,210,3881
653,207,4088
652,254,4342
651,220,4562
650,228,4790
649,269,5059
648,231,5290
647,272,5562
646,288,5850
645,294,6144
644,296,6440
643,325,6765
642,296,7061
641,300,7361
640,341,7702
639,345,8047
638,357,8404
637,358,8762
636,409,9171
635,352,9523
634,409,9932
633,387,10319
632,398,10717
631,437,11154
630,422,11576
629,441,12017
628,444,12461
627,486,12947
626,515,13462
625,493,13955
624,551,14506
623,571,15077
622,529,15606
621,513,16119
620,569,16688
619,546,17234
618,546,17780
617,597,18377
616,610,18987
615,636,19623
614,605,20228
613,676,20904
612,656,21560
611,662,22222
610,667,22889
609,639,23528
608,688,24216
607,647,24863
606,710,25573
605,734,26307
604,750,27057
603,752,27809
602,765,28574
601,785,29359
600,847,30206
599,838,31044
598,786,31830
597,807,32637
596,757,33394
595,843,34237
594,860,35097
593,888,35985
592,892,36877
591,893,37770
590,881,38651
589,958,39609
588,874,40483
587,930,41413
586,967,42380
585,898,43278
584,909,44187
583,965,45152
582,945,46097
581,951,47048
580,958,48006
579,959,48965
578,912,49877
577,963,50840
576,991,51831
575,1001,52832
574,986,53818
573,957,54775
572,959,55734
571,1047,56781
570,1046,57827
569,1009,58836
568,1017,59853
567,1002,60855
566,955,61810
565,1049,62859
564,1012,63871
563,1045,64916
562,1050,65966
561,1038,67004
560,1046,68050
559,1004,69054
558,1014,70068
557,1043,71111
556,983,72094
555,1046,73140
554,1028,74168
553,961,75129
552,1041,76170
551,1018,77188
550,1087,78275
549,1093,79368
548,1055,80423
547,1068,81491
546,1019,82510
545,1091,83601
544,1051,84652
543,1045,85697
542,1096,86793
541,1069,87862
540,1015,88877
539,1093,89970
538,1045,91015
537,1048,92063
536,1059,93122
535,1006,94128
534,1065,95193
533,1056,96249
532,1076,97325
531,1036,98361
530,1059,99420
529,1108,100528
528,1030,101558
527,1008,102566
526,991,103557
525,1060,104617
524,1043,105660
523,1061,106721
522,1093,107814
521,1063,108877
520,1021,109898
519,1042,110940
518,1083,112023
517,1120,113143
516,1065,114208
515,1057,115265
514,1027,116292
513,1046,117338
512,1040,118378
511,1048,119426
510,1045,120471
509,1009,121480
508,1021,122501
507,1044,123545
506,1009,124554
505,999,125553
504,1043,126596
503,1027,127623
502,1057,128680
501,1026,129706
500,981,130687
499,1067,131754
498,1001,132755
497,992,133747
496,952,134699
495,1014,135713
494,1020,136733
493,1030,137763
492,1040,138803
491,1000,139803
490,1022,140825
489,997,141822
488,995,142817
487,954,143771
486,968,144739
485,1002,145741
484,986,146727
483,983,147710
482,977,148687
481,978,149665
480,970,150635
479,1022,151657
478,949,152606
477,919,153525
476,965,154490
475,946,155436
474,903,156339
473,955,157294
472,906,158200
471,941,159141
470,934,160075
469,941,161016
468,875,161891
467,954,162845
466,912,163757
465,909,164666
464,894,165560
463,930,166490
462,910,167400
461,858,168258
460,888,169146
459,893,170039
458,822,170861
457,821,171682
456,816,172498
455,832,173330
454,774,174104
453,805,174909
452,813,175722
451,826,176548
450,805,177353
449,814,178167
448,844,179011
447,788,179799
446,816,180615
445,815,181430
444,803,182233
443,771,183004
442,698,183702
441,755,184457
440,749,185206
439,770,185976
438,717,186693
437,700,187393
436,683,188076
435,728,188804
434,689,189493
433,750,190243
432,674,190917
431,651,191568
430,695,192263
429,638,192901
428,672,193573
427,699,194272
426,707,194979
425,657,195636
424,612,196248
423,610,196858
422,691,197549
421,655,198204
420,607,198811
419,645,199456
418,580,200036
417,603,200639
416,605,201244
415,541,201785
414,578,202363
413,594,202957
412,569,203526
411,590,204116
410,531,204647
409,571,205218
408,557,205775
407,538,206313
406,535,206848
405,485,207333
404,542,207875
403,549,208424
402,481,208905
401,486,209391
400,503,209894
399,436,210330
398,460,210790
397,487,211277
396,482,211759
395,445,212204
394,473,212677
393,474,213151
392,451,213602
391,446,214048
390,424,214472
389,442,214914
388,448,215362
387,397,215759
386,386,216145
385,418,216563
384,376,216939
383,368,217307
382,394,217701
381,372,218073
380,339,218412
379,333,218745
378,348,219093
377,338,219431
376,339,219770
375,342,220112
374,329,220441
373,330,220771
372,331,221102
371,326,221428
370,299,221727
369,298,222025
368,286,222311
367,278,222589
366,321,222910
365,291,223201
364,277,223478
363,293,223771
362,273,224044
361,245,224289
360,257,224546
359,285,224831
