Score,Number,Total
356,82Ê,40736Ê
355,81Ê,40817Ê
354,73Ê,40890Ê
353,59Ê,40949Ê
352,71Ê,41020Ê
351,62Ê,41082Ê
350,49Ê,41131Ê
349,67Ê,41198Ê
348,55Ê,41253Ê
347,53Ê,41306Ê
346,64Ê,41370Ê
345,69Ê,41439Ê
344,40Ê,41479Ê
343,57Ê,41536Ê
342,51Ê,41587Ê
341,58Ê,41645Ê
340,46Ê,41691Ê
339,44Ê,41735Ê
338,41Ê,41776Ê
337,41Ê,41817Ê
336,49Ê,41866Ê
335,57Ê,41923Ê
334,35Ê,41958Ê
333,51Ê,42009Ê
332,43Ê,42052Ê
331,35Ê,42087Ê
330,39Ê,42126Ê
329,41Ê,42167Ê
328,45Ê,42212Ê
327,30Ê,42242Ê
326,24Ê,42266Ê
325,28Ê,42294Ê
324,27Ê,42321Ê
323,20Ê,42341Ê
322,30Ê,42371Ê
321,27Ê,42398Ê
320,35Ê,42433Ê
319,25Ê,42458Ê
318,23Ê,42481Ê
317,20Ê,42501Ê
316,25Ê,42526Ê
315,17Ê,42543Ê
314,14Ê,42557Ê
313,11Ê,42568Ê
312,15Ê,42583Ê
311,23Ê,42606Ê
310,12Ê,42618Ê
309,20Ê,42638Ê
308,27Ê,42665Ê
307,17Ê,42682Ê
306,7Ê,42689Ê
305,10Ê,42699Ê
304,14Ê,42713Ê
303,16Ê,42729Ê
302,15Ê,42744Ê
301,14Ê,42758Ê
300,11Ê,42769Ê
299,16Ê,42785Ê
298,15Ê,42800Ê
297,13Ê,42813Ê
296,13Ê,42826Ê
295,12Ê,42838Ê
294,8Ê,42846Ê
293,7Ê,42853Ê
292,10Ê,42863Ê
291,10Ê,42873Ê
290,9Ê,42882Ê
289,11Ê,42893Ê
288,8Ê,42901Ê
287,13Ê,42914Ê
286,10Ê,42924Ê
285,4Ê,42928Ê
284,5Ê,42933Ê
283,9Ê,42942Ê
282,7Ê,42949Ê
281,15Ê,42964Ê
280,10Ê,42974Ê
279,3Ê,42977Ê
278,7Ê,42984Ê
277,5Ê,42989Ê
276,9Ê,42998Ê
275,9Ê,43007Ê
274,8Ê,43015Ê
273,11Ê,43026Ê
272,5Ê,43031Ê
271,8Ê,43039Ê
270,10Ê,43049Ê
269,7Ê,43056Ê
268,8Ê,43064Ê
267,6Ê,43070Ê
266,5Ê,43075Ê
265,5Ê,43080Ê
264,5Ê,43085Ê
263,9Ê,43094Ê
262,3Ê,43097Ê
261,6Ê,43103Ê
